OBJECTID,FID_CBPA,FID_CBPA_NEW,ID,FROMBUFDST,TOBUFDIST,NEWIN2003,NOTES,MODIFICATION,ACREAGE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
1,1,-1,0,0,0,,,,4975.90583194,,,ABELL,2019/02/14 20:40:10+00,216376909.111722,302592.254570799
2,2,-1,0,0,0,,,,1346.33110451,,,ABELL,2018/09/06 12:36:09+00,49116945.5783316,99205.1993792519
3,3,-1,0,0,0,,,,17.25431638,,,,,751598.021304982,4190.09384910395
4,4,-1,0,0,0,,,,12360.22065892,,,ABELL,2019/07/23 12:34:57+00,537696645.155096,436963.911146174
5,5,-1,0,0,0,,,,14.21026127,,,,,618998.980785454,5091.05080195263
6,6,-1,0,0,0,,,,176.55887527,,,,,7690904.60654804,18722.7303322649
7,7,-1,0,0,0,,,,2.69091239,,,,,117216.143507816,1755.23762535482
8,-1,2,0,100,200,YES,,,18.17598259,,,,,791745.801414332,16114.5872456936
9,-1,4,0,100,200,YES,,,196.79772387,,,,,8572508.851981,171942.027600359
10,-1,5,0,100,200,YES,,,8.35209592,,,,,363817.298213133,7785.47851717072
11,-1,6,0,100,200,YES,,,107.62072799,,,,,4687958.91145939,94171.7370085098
12,-1,7,0,100,200,YES,,,3.15590668,,,,,137471.295060718,2965.06143847425
13,-1,9,0,0,100,YES,,,17.78905399,,,,,774891.191971866,8079.52753393774
14,-1,10,0,0,100,YES,,,21.04530393,,,,,916733.439336719,9599.42137505171
15,-1,11,0,0,100,YES,,,197.1624926,,,,,8588398.17775312,86171.8364425029
16,-1,12,0,0,100,YES,,,8.1066063,,,,,353123.770418941,3869.74595495463
17,-1,13,0,0,100,YES,,,106.53612813,,,,,4640713.7411623,47044.3062889961
18,-1,14,0,0,100,YES,,,2.14257315,,,,,93330.4866156863,1370.46824642345
19,1,1,0,100,200,YES,,,4.66638188,,,,,203267.594815151,4492.03450788037
20,1,5,0,100,200,YES,,,1.30112244,,,,,56676.8934995757,1371.20134157298
21,1,8,0,0,100,YES,,,3.42814583,,,,,149330.032437989,2169.17933256719
22,1,12,0,0,100,YES,,,0.10697052,,,,,4659.63593059821,496.270477823921
23,4,2,0,100,200,YES,,,0.54096003,,,,,23564.2188993322,724.526617659136
24,4,3,0,100,200,YES,,,2.04935933,,,,,89270.0924324752,2056.74280432751
25,4,4,0,100,200,YES,,,0.98854091,,,,,43060.8418451424,1312.40828335566
26,4,6,0,100,200,YES,,,2.09327291,,,,,91182.9678131183,2222.71058370913
27,4,7,0,100,200,YES,,,0.68047971,,,,,29641.6963749226,805.706456514997
28,4,9,0,0,100,YES,,,0.17020565,,,,,7414.15799660276,352.479873845302
29,4,10,0,0,100,YES,,,0.72904827,,,,,31757.3424970899,1287.98541429441
30,4,11,0,0,100,YES,,,0.23234105,,,,,10120.7761372697,533.008304982905
31,4,13,0,0,100,YES,,,0.73245991,,,,,31905.9537146591,1021.38620849578
32,4,14,0,0,100,YES,,,0.30213989,,,,,13161.2135400958,454.714893958994
33,-1,6,0,100,200,YES,,,3.6e-06,,,,,0.156815900541341,4123.88998304134
34,-1,13,0,0,100,YES,,,3.6e-06,,,,,0.156815900541341,4123.88998304134
35,-1,3,0,100,200,YES,,,19.85265396,,,,,864781.606401329,17815.8802179905
36,-1,10,0,0,100,YES,Wolfe Environmental,REMOVED,17.75418801,,,,,773372.429709471,8136.17528780736
37,1,-1,0,0,0,,Wolfe Environmental,REMOVED,68.9563586,,,ABELL,2019/02/14 20:40:10+00,2367731.4721876,15128.5761171142
38,4,-1,0,0,0,,MAP Environmental,ADDED,6.70107916,,,,,291899.008319439,2368.9882684567
39,,,,100,200,YES,Wolfe Environmental,REMOVED,18.61334532,,,,,810797.322349791,16535.2697865125
40,,,,,,,Per PW Added in Oct 2006,ADDED,2.8e-06,,,,,0.121832719628122,66.701096489858
41,,,,,,,,ADDED,4.56501244,,,,,198851.942100393,2932.66562459363
42,,,,100,200,,Modified in March2016 per Mike Anaya,REMOVED,6.51792912,,,BUMPHLETT,2016/07/01 15:04:20+00,283918.499962186,5920.4355135266
43,,,,,100,,Modified in March2016 per Mike Anaya,REMOVED,5.98845556,,,BUMPHLETT,2016/07/01 15:04:22+00,260857.12408602,2937.25514724639
44,,,,0,100,YES,,,,,,,,700319.365397985,7313.43662753717
45,,,,100,200,YES,,,,,,,,762282.866888992,15246.9296241694
46,,,,0,100,YES,Per Letter Christine Early_Eric Martin,REMOVED,,,,,,733072.935144975,7454.51094305064
47,-1,10,0,0,100,YES,Letter to Cahoon Bay Envr,REMOVED,14.83574577,,,,,646245.566531882,6851.06071577232
48,-1,3,0,100,200,YES,Cahoon Bay Envr,REMOVED,15.86594418,,,,,691121.482648486,14373.1584851373
49,,,,,,,Per PW Removed Oct07,REMOVED,3.55760949,,,,,154969.469333533,1756.6366591056
50,,,,100,200,YES,Per Letter Christine Early_Eric Martin,REMOVED,,,,,,765732.471800736,15344.6609193099
51,,,,0,100,YES,,,,,,,,572991.027684117,6037.25602693816
52,,,,100,200,YES,,,,,,,,634380.216322926,12688.8012605252
53,4,-1,0,0,0,,Bay Environmental Aug08,REMOVED,12360.22065892,,,,,1230920.97793277,5082.12324188584
54,,,,0,100,,Bay Environmental Aug08,ADDED,,,,,,134739.642854783,1762.47864240106
55,,,,100,200,,Bay Environmental Aug08,ADDED,,,,,,83080.0628142851,1861.6608448668
56,,,,100,200,,Bay Environmental Aug08,ADDED,,,,,,50994.7413246882,1239.01249351622
57,2,-1,0,0,0,,Per Dave Mergen determination Aug 24 2018,REMOVED,1346.33110451,ABELL,2018/09/06 12:36:09+00,ABELL,2018/09/06 13:51:58+00,8953050.25948168,16714.1638930306
58,2,-1,0,0,100,,,ADDED,1346.33110451,ABELL,2018/09/06 12:38:10+00,ABELL,2018/09/06 13:52:29+00,285166.481442448,3070.91880458891
60,2,-1,0,100,200,,,ADDED,1346.33110451,ABELL,2018/09/06 13:48:39+00,ABELL,2018/09/06 13:52:56+00,290960.899568315,6052.71275390676
377,,,0,0,0,,Per Dave Mergen and Emily Foster 12/13/2018,ADDED,1.40631876,ABELL,2018/12/13 19:51:43+00,ABELL,2019/02/14 20:34:45+00,61259.2450232265,2109.35985712481
697,,,0,0,0,,Per Bay Environmental 1/11/2019,ADDED,7.62166381,ABELL,2019/02/14 20:30:00+00,ABELL,2019/02/14 20:40:10+00,331980.663736716,3153.65175112326
698,,,0,0,0,,Per Bay Environmental 1/11/2019,ADDED,26.71089627,ABELL,2019/02/14 20:30:00+00,ABELL,2019/02/14 20:37:20+00,1163526.64133848,9694.75185305286
1023,4,-1,0,0,0,,No CBPA or RPA Features per Dave Mergen 7/22/2019,REMOVED,12360.22065892,ABELL,2019/07/23 12:34:57+00,ABELL,2019/07/23 12:37:59+00,193480.601913048,2120.02567920603
