OBJECTID,LENGTH,MILES,TYPE,QUADRANGLE,DATE_,LEVELID,WebLink,Shape_Length
1,359.60299682,0.09539243,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,462.415634224948
2,304.3540039,0.075169,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,390.688402590403
3,33.85200119,0.02587435,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,43.468650422358
4,439.5119934,0.18049049,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,565.438897065044
5,26.63400077,0.09539243,vegetated,KENT ISLAND,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,34.2344056974651
6,70.91139984,0.02587435,waters edge,KENT ISLAND,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,91.0329832415382
7,1624.05004883,0.59010185,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2091.86839053547
8,1309.34997559,0.32338094,structure,KENT ISLAND,04/06/1992,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,803.83679693444
9,229.52200317,0.23701376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,295.633615202236
10,367.29598999,0.23701376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,473.028532781924
11,362.83401489,0.23701376,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,467.210642980141
12,85.49410247,0.02111522,waters edge,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,109.905208493391
13,34.02500152,0.00840344,vegetated,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,43.7676375541917
14,354.77398681,0.12561174,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,456.559703787529
15,86.54640197,0.12561174,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,111.425983610784
16,160.31700134,0.03959485,waters edge,ANNAPOLIS,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,206.288988208649
17,129.79400634,0.03205635,vegetated,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,166.736956282356
18,208.01800537,0.051376,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,267.717272800252
19,217.7599945,0.05378214,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,280.462589540352
20,295.18899536,0.18422643,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,379.520459686256
21,450.73098754,0.18422643,beach,ANNAPOLIS,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,579.473108395168
22,67.27269744,0.12561174,beach,ANNAPOLIS,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,86.6417868499613
23,262.35699462,0.12633164,beach,DEALE,1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,337.323161733861
24,540.16497802,0.13340926,beach,SOUTH RIVER,1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,694.458828739126
25,249.15100097,0.12633164,beach,DEALE,1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,320.362783457687
26,158.93299865,0.03925311,beach,ANNAPOLIS,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,204.299853348243
27,728.62200927,0.1799543,beach,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,938.180011158631
28,559.25201416,0.13812345,waters edge,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,719.452403306793
29,139.08099365,0.03435017,waters edge,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,178.855913968633
30,791.63702392,0.19551766,vegetated,ROUND BAY,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1017.83695420217
31,181.26100158,0.04476758,structure,ROUND BAY,1994,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,233.29408900535
32,438.68399047,0.10834558,vegetated,GIBSON ISLAND,04/08/1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,565.534356988182
33,87.15920257,0.02152647,waters edge,GIBSON ISLAND,04/08/1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,112.396159841594
34,808.3920288,0.23315528,beach,GIBSON ISLAND,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1042.10861316845
35,135.6369934,0.23315528,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,174.932040041365
36,313.24301147,0.07736443,vegetated,GIBSON ISLAND,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,403.5851199412
37,791.90802002,0.44655479,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1020.95544471557
38,287.22601318,0.44655479,beach,GIBSON ISLAND,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,369.87363584881
39,728.93499755,0.44655479,beach,GIBSON ISLAND,04/08/1994,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,938.356167926154
40,441.62200927,0.10907135,structure,GIBSON ISLAND,04/08/1994,6,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,569.009688369149
41,158.8769989,0.03923931,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,204.594683205435
42,209.33599853,0.05170157,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,269.573596371132
43,432.3580017,0.10678328,beach,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,556.830524843853
44,55.53079986,0.01371492,waters edge,KENT ISLAND,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,71.4830286236732
45,637.52099609,0.19157744,vegetated,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,820.191825560772
46,132.61000061,0.03275194,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,170.422170852677
47,46.28950119,0.01143252,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,59.6312177552972
48,175.2230072,0.04327644,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,225.119874237366
49,25.37179946,0.00626629,beach,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,32.6082182050522
50,368.26000976,0.14392691,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,473.545510697884
51,34.98329925,0.00864014,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,44.9465097015137
52,1423.23999023,0.3515091,waters edge,KENT ISLAND,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,167.368953306153
53,617.48297119,0.16996318,waters edge,KENT ISLAND,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,458.465209167843
54,214.49000549,0.14392691,waters edge,KENT ISLAND,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,81.7283584260649
55,87.91449737,0.02171301,waters edge,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,112.891849209442
56,429.66101074,0.10611717,beach,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,552.143895915848
57,583.96697998,0.1442275,waters edge,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,751.233867554604
58,2806.81005859,0.6932235,vegetated,SOUTH RIVER,1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1001.53931858246
59,180.73500061,0.04463772,beach,CLAIBORNE,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,232.041774432555
60,385.73699951,0.16647614,beach,CLAIBORNE,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,495.026061600773
61,288.31298828,0.16647614,beach,CLAIBORNE,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,370.849899336188
62,214.22099304,0.13656282,vegetated,CLAIBORNE,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,275.377797996374
63,338.71301269,0.13656282,vegetated,CLAIBORNE,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,435.896071763173
64,59.36859893,0.08599746,beach,CLAIBORNE,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,76.3904938031107
65,288.82901001,0.08599746,beach,CLAIBORNE,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,371.623869365326
66,388.73498535,0.27843118,beach,QUEENSTOWN,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,500.025617224378
67,332.47299194,0.27843118,beach,QUEENSTOWN,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,428.251631145528
68,151.96000671,0.0375308,vegetated,QUEENSTOWN,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,195.455827472342
69,406.14001464,0.27843118,beach,QUEENSTOWN,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,523.371832804493
70,885.48498535,0.21869597,beach,QUEENSTOWN,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1141.14949890756
71,104.76300048,0.16157278,beach,QUEENSTOWN,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,134.95159281558
72,549.43402099,0.16157278,beach,QUEENSTOWN,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,708.017942218299
73,325.80899047,0.10345559,vegetated,COVE POINT,04/08/1993,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,416.386967746561
74,93.07559967,0.10345559,vegetated,COVE POINT,04/08/1993,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,118.891243642246
75,93.45339965,0.25655778,beach,COVE POINT,04/08/1993,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,119.264317784429
76,155.05299377,0.25655778,beach,COVE POINT,04/08/1993,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,198.047855092557
77,213.34300231,0.27269645,beach,COVE POINT,04/08/1993,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,272.683626386769
78,790.27801513,0.25655778,beach,COVE POINT,04/08/1993,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1010.30640600278
79,702.77801513,0.27269645,beach,COVE POINT,04/08/1993,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,899.263368391485
80,188.0079956,0.27269645,beach,COVE POINT,04/08/1993,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,240.461317704647
81,64.76709747,0.29158296,vegetated,COVE POINT,04/08/1993,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,82.8153821884345
82,107.03399658,0.29158296,vegetated,COVE POINT,04/08/1993,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,136.852222187727
83,713.25097656,0.17615785,vegetated,HORSESHOE POINT,04/08/1994,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,916.617093465059
84,247.02900695,0.06101086,vegetated,HORSESHOE POINT,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,317.773292151761
85,277.89999389,0.29681904,waters edge,HORSESHOE POINT,04/08/1994,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,357.614116483696
86,157.50500488,0.29681904,waters edge,HORSESHOE POINT,04/08/1994,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,202.676458479589
87,154.7619934,0.03822293,beach,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,199.213548876309
88,85.05000305,0.02100553,beach,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,109.461622044553
89,180.08900451,0.04447812,beach,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,231.844593292684
90,200.79600524,0.05199017,beach,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,258.574453229355
91,36.17359924,0.00893412,beach,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,46.6646479778653
92,51.24509811,0.13326107,beach,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,66.125361100329
93,488.32000732,0.13326107,beach,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,628.942560784827
94,38.44150161,0.00949424,beach,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,49.5127827719806
95,196.07200622,0.60009156,beach,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,252.330009894816
96,676.81201171,0.60009156,beach,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,872.40347145124
97,531.16699218,0.60009156,beach,LANGFORD CREEK,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,684.276989703416
98,261.70599365,0.60009156,beach,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,336.989390614393
99,106.24099731,0.60009156,beach,LANGFORD CREEK,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,137.044576559207
100,601.24902343,0.60009156,beach,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,775.862444139541
101,56.48239898,0.60009156,beach,LANGFORD CREEK,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,72.8997960932142
102,897.46899414,0.25578655,beach,LANGFORD CREEK,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1158.23906998168
103,138.19299316,0.25578655,beach,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,178.306623609825
104,70.75240325,0.01747435,beach,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,91.2454032919759
105,138.27999877,0.03415225,beach,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,178.337430792968
106,336.04000854,0.10373486,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,432.625705457562
107,589.15002441,0.2428633,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,758.88801332514
108,83.9748001,0.10373486,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,108.156356228752
109,287.46499633,0.2428633,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,369.684142041226
110,106.72100067,0.2428633,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,137.391181406527
111,2324.52001953,0.57410737,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2994.92395251189
112,2243.10009766,0.55399878,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2888.82671101672
113,406.95800781,0.19112505,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,524.026922599554
114,69.19319915,0.05246986,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,89.0573047519054
115,143.2539978,0.05246986,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,184.56216341779
116,88.94660186,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,114.722470376067
117,645.7290039,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,832.126597520432
118,161.52000427,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,208.080145253904
119,543.60101318,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,700.521243902531
120,287.50601196,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,370.298613518427
121,330.71899414,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,5,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,426.124880184073
122,288.74798584,0.07131468,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,371.915853776781
123,1728.81994629,0.49994655,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2227.00464762789
124,295.42800903,0.49994655,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,380.371517516982
125,162.6040039,0.19112505,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,209.312397900184
126,204.28999328,0.19112505,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,263.182018876782
127,125.69499969,0.03104403,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,161.770252015523
128,2731.47998047,0.67461782,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,3519.39543507309
129,938.59100341,0.30069836,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1209.15263993001
130,278.9159851,0.30069836,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,359.726800502557
131,162.33799743,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,209.206441690564
132,257.63500976,0.61201238,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,331.730913306367
133,2295.54003906,0.56695091,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,2955.80064668942
134,229.37199401,0.4667801,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,295.123621579295
135,302.62100219,0.4667801,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,389.863384199079
136,733.49902343,0.4667801,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,944.994727637433
137,432.76400756,0.4667801,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,557.674028089099
138,191.70399475,0.4667801,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,247.290631930066
139,223.66000366,0.05523934,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,288.333977767248
140,1341.07995605,0.42478846,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1727.81958216965
141,1475.11999512,0.66959572,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1901.33914616098
142,378.86300659,0.42478846,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,488.147620086326
143,162.2250061,0.74605467,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,209.077046693301
144,2476.05004883,0.74605467,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,3191.55399201259
145,1185.67004395,0.54387589,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1527.81663057629
146,382.44900512,0.74605467,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,492.432047132157
147,206.0099945,0.54387589,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,265.517128068318
148,540.64697265,0.54387589,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,696.83888403302
149,269.79199218,0.54387589,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,347.673883698016
150,171.70199585,0.66959572,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,221.158545489145
151,273.65600585,0.66959572,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,352.810449004406
152,790.66802978,0.66959572,vegetated,LANGFORD CREEK,04/06/1992,1,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,1019.08119184979
153,74.14910125,0.01831325,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,95.6109164819498
154,59.8028984,0.01477004,vegetated,LANGFORD CREEK,04/06/1992,7,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,76.9149788810788
155,76.63770294,0.11651726,vegetated,LANGFORD CREEK,04/06/1992,3,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,98.8507217417508
156,395.1329956,0.11651726,vegetated,LANGFORD CREEK,04/06/1992,2,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,508.861497496604
157,91.4932022,0.02259688,vegetated,LANGFORD CREEK,04/06/1992,4,http://dnr.maryland.gov/fisheries/fishfacts/horseshoecrab.asp,118.038418821228
